Period,1-Nov, 2019 -> November 30,2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time,South of Vernon,Trail North of Sugar Creek,Robinson at Monroe,Trail West of Hershey,West of Grandview,Shirley,East of Shelbourne,Washington West of Vale Eastbound,Washington West of Vale Westbound,South Side Counter,South of Raab,YAI18086290,West Side Counter,Washington East of Rust Westbound,Washington East of Rust Eastbound,Grove-West of Vale (EB),Grove-West of Vale (WB),East Side Counter,Heartland CC
6/8/2020 0:00,1555,1450,,702,,347,28,,,,,,,,,,,,66
6/9/2020 0:00,697,686,,186,,11,10,,,,,,,,,,,,50
6/10/2020 0:00,1221,1233,,497,,1682,10,,,,,,,,,,,,64
6/11/2020 0:00,1635,1587,,870,,1093,53,,,,,,,,,,,,164
6/12/2020 0:00,1644,1550,,786,,555,34,,,,,,,,,,,,160
6/13/2020 0:00,2248,2010,,1235,,2087,81,,,,,,,,,,,,35
6/14/2020 0:00,1655,1952,,1067,,523,48,,,,,,,,,,,,63
6/15/2020 0:00,1646,1523,,789,,553,44,,,,,,,,,,,,26
6/16/2020 0:00,1743,1585,,841,,183,38,,,,,,,,,,,,108
6/17/2020 0:00,1607,1676,,865,,365,40,,,,,,,,,,,,83
6/18/2020 0:00,1474,1481,,693,,479,65,,,,1132,,,,,,,,12
6/19/2020 0:00,1383,1414,,670,,1128,34,,,,1245,,,,,,,,
6/20/2020 0:00,1352,1313,,559,,164,42,,,,1076,,,,,,,,
6/21/2020 0:00,1718,1580,,808,,345,33,,,,1359,,,,,,,,
6/22/2020 0:00,1032,1064,,499,,844,25,,,,1095,,,,,,,,
6/23/2020 0:00,1563,1832,,852,,98,40,,,,1665,,,,,,,,
6/24/2020 0:00,1722,1983,,876,,91,74,,,,1523,,,,,,,,
6/25/2020 0:00,1738,1685,,853,,363,63,,,,1523,,,,,,,,
6/26/2020 0:00,1191,1151,,557,,634,25,,,,987,,,,,,,,
6/27/2020 0:00,1332,1312,,643,,40,59,,,,1188,,,,,,,,
6/28/2020 0:00,1893,1653,,871,,320,54,,,,1551,,,,,,,,
6/29/2020 0:00,1313,1209,,593,,504,20,,,,1093,,,,,,,,
6/30/2020 0:00,1360,1242,,566,,47,29,,,,1204,,,,,,,,
7/1/2020 0:00,1420,1348,,642,,151,64,,,,1282,,,,,,,,
7/2/2020 0:00,1250,1279,,603,,765,34,,,,1187,,,,,,,,
7/3/2020 0:00,1375,1466,,731,,826,68,,,,1393,,,,,,,,
7/4/2020 0:00,1518,1444,,651,,82,72,,,,1333,,,,,,,,
7/5/2020 0:00,1562,1512,,699,,275,65,,,,1266,,,,,,,,
7/6/2020 0:00,1234,1164,,548,,180,39,,,,1115,,,,,,,,
7/7/2020 0:00,1185,1225,,478,,68,50,,,,1141,,,,,,,,
7/8/2020 0:00,1288,1221,,633,,828,42,,,,1143,,,,,,,,
7/9/2020 0:00,1208,1179,,572,,521,35,,,,1199,,,,,,,,
7/10/2020 0:00,1453,1331,,592,,331,29,,,,1230,,,,,,,,
7/11/2020 0:00,1430,1470,,736,,304,133,,,,1363,,,,,,,,
7/12/2020 0:00,1983,1768,,1063,,93,62,,,,1784,,,,,,,,
7/13/2020 0:00,1615,1550,,699,,238,182,,,,1438,,,,,,,,
7/14/2020 0:00,1462,1391,,745,,78,42,,,,1399,,,,,,,,
7/15/2020 0:00,726,806,,372,,25,14,,,,656,,,,,,,,
7/16/2020 0:00,1340,1437,,792,,137,307,,,,1384,,,,,,,,
7/17/2020 0:00,1272,1194,,751,,425,47,,,,1029,,,,,,,,
7/18/2020 0:00,1431,1335,,732,,206,46,,,,1319,,,,,,,,
7/19/2020 0:00,1258,1248,,665,,64,23,,,,1034,,,,,,,,
7/20/2020 0:00,1455,1452,,738,,69,58,,,,1442,,,,,,,,
7/21/2020 0:00,686,691,,312,,42,17,,,,693,,,,,,,,
7/22/2020 0:00,1494,1398,,815,,176,35,,,,1423,,,,,,,,
7/23/2020 0:00,1423,1406,,861,,328,156,,,,1237,,,,,,,,
7/24/2020 0:00,1425,1288,,951,,147,534,,,,1223,,,,,,,,
7/25/2020 0:00,1566,1567,,922,,68,51,,,,1240,,,,,,,,
7/26/2020 0:00,1278,1277,,727,,69,51,,,,1118,,,,,,,,
7/27/2020 0:00,967,1014,,462,,48,56,,,,924,,,,,,,,
7/28/2020 0:00,1514,1443,,966,,62,100,,,,1456,,,,,,,,
7/29/2020 0:00,1384,1347,,821,0,54,42,,,,1338,,,,,,,,
7/30/2020 0:00,667,636,,236,,13,16,,,,546,,,,,,,,
7/31/2020 0:00,1333,1237,,615,,55,35,,,,1131,,,,,,,,
8/1/2020 0:00,1045,944,,567,,44,47,,,,818,,,,,,,,
8/2/2020 0:00,1877,1808,,1071,,102,56,,,,1686,,,,,,,,
8/3/2020 0:00,1374,1406,,706,,41,38,,,,1216,,,,,,,,
8/4/2020 0:00,1636,1564,,899,,49,205,,,,1385,,,,,,,,
8/5/2020 0:00,1548,1505,,912,,74,77,,,,1357,,,,,,,,
8/6/2020 0:00,1429,1475,,976,,62,62,,,,1342,,,,,,,,
8/7/2020 0:00,1353,1386,,908,,61,61,,,,1268,,,,,,,,
8/8/2020 0:00,1550,1455,,819,,92,52,,,,1413,,,,,,,,
